repo_id,full_name,language,track,target_date,commit_sha,total_loc,n_chunks,n_classes,n_methods,class_loc_p50,class_loc_p90,method_loc_p50,method_loc_p90,cyclomatic_complexity_p50,cyclomatic_complexity_p90,design_smell_count,design_smell_density_per_kloc,implementation_smell_count,implementation_smell_density_per_kloc,arch_smell_count_chunk_scoped,status
283046497.0,airbytehq/airbyte,Python,A1,2022-01-01T00:00:00+00:00,99a2ae60805ef824c7a9c184cc96b6bda600d988,44093,131,1811,5333,6.0,42.0,4.0,16.0,1.0,3.0,1288,29.21098587077314,3262,73.97999682489284,16,ok
283046497.0,airbytehq/airbyte,Python,A1,2022-02-01T00:00:00+00:00,1bc544a9fb76ca6b86805320181b0743de1a5b6e,46691,137,1891,5595,6.0,43.0,5.0,16.0,1.0,3.0,1356,29.04199952881712,3466,74.23272150949863,16,ok
283046497.0,airbytehq/airbyte,Python,A1,2022-03-01T00:00:00+00:00,a46b8853569af060bafabe680e2816844e754eff,50330,138,1954,5946,6.0,44.0,5.0,16.0,1.0,3.0,1423,28.273395589111864,3815,75.79972183588316,19,ok
283046497.0,airbytehq/airbyte,Python,A1,2022-04-01T00:00:00+00:00,f6428642209698368248e97d30d5602b9f7e8e7f,54107,140,2012,6355,6.0,45.0,5.0,16.0,1.0,3.0,1508,27.870700648714585,4321,79.86027685881679,20,ok
283046497.0,airbytehq/airbyte,Python,A1,2022-05-01T00:00:00+00:00,18f59bfc9a7cf8364f12c0eb2e74c3346307b078,57935,144,2086,6769,6.0,45.0,5.0,16.0,1.0,3.0,1573,27.15111763182877,4581,79.0713730905325,24,ok
283046497.0,airbytehq/airbyte,Python,A1,2022-06-01T00:00:00+00:00,5f0f106cb640d49ad1b3e0f37aeb99f98d72dbfb,60768,145,2103,7169,6.0,46.0,5.0,16.0,1.0,3.0,1624,26.724591890468666,4972,81.81937862032649,33,ok
283046497.0,airbytehq/airbyte,Python,A1,2022-07-01T00:00:00+00:00,2a93dc1ec4c1a274e87941204bfa5995717329e9,65871,160,2214,7762,6.0,46.0,5.0,16.0,1.0,3.0,1749,26.551896889374685,5477,83.14736378679541,37,ok
283046497.0,airbytehq/airbyte,Python,A1,2022-08-01T00:00:00+00:00,67333aa3bca19cb0b3f4ab82dd4663c985c63630,70733,167,2310,8317,7.0,47.0,5.0,16.0,1.0,3.0,1848,26.12641906889288,5919,83.68088445280138,39,ok
283046497.0,airbytehq/airbyte,Python,A1,2022-09-01T00:00:00+00:00,827e7a55ac21afd029cecbb8f7f2a08dba70d516,75227,181,2356,8788,7.0,47.0,5.0,16.0,1.0,3.0,1874,24.91126856049025,6369,84.66375104683159,42,ok
283046497.0,airbytehq/airbyte,Python,A1,2022-10-01T00:00:00+00:00,aaa94f1cbc07bdd8fc8908e9dd1a1bca2038ba36,81860,192,2494,9325,7.0,48.0,5.0,16.0,1.0,3.0,2014,24.60298069875397,6909,84.40019545565599,43,ok
